id,size(byte),标题,出现次数最多的词语,弱智,出院,为什么,水,经验,鸡,意义,问题,人类,地球,太阳,原神,哲学,感叹号,问号,句号,逗号,冒号,顿号
8005359738,381620,有没有会盲文的摸一下什么意思？,盲文,46,31,106,155,148,45,7,77,15,4,5,247,3,385,411,2492,4036,354,285
8703341221,350415,你只准备了5杯水，来了一亿个领导,领导,20,9,70,3655,23,11,1,160,8,7,3,10,2,265,476,1388,5600,339,72
3271413369,329729,回忆向：我在青龙山的日子,楼主,90,10,52,225,107,34,2,12,2,9,8,0,0,1663,728,2236,3104,502,56
8275662177,309197,指甲有竖纹怎么办？,影响,7,15,8,317,356,4,0,126,0,0,0,4,0,406,77,299,1412,9,8
8007810778,302074,只切一刀，如何把四个橘子平均分给四...,刀,17,19,218,72,32,13,1,128,0,23,0,4,0,321,410,846,4725,90,8
7708339765,292682,年度总结：弱吧2021年度306佳贴,大家,86,13,61,264,241,5,4,4,10,11,9,0,9,298,201,1198,1505,116,13
7745338919,275295,鸡柳是鸡身上哪个部位啊？,鸡,15,21,60,53,36,7357,0,45,9,0,2,2,1,183,600,681,2929,44,88
7712675997,263447,这两款香水哪一个比较好阿,香水,40,18,110,834,82,16,0,42,4,2,1,4,1,351,458,556,3515,34,21
8205391747,221787,有哪些违法行为是合法的,合法,66,25,28,90,79,3,1,89,11,17,2,35,1,139,177,1120,2498,308,148
8247531124,206466,弱智吧突击考试，共20题，每题5分...,老师,59,19,146,101,113,7,10,42,17,38,30,46,1,199,364,1115,2507,127,288
7361495496,186594,垃圾桶,诗,47,5,24,130,45,10,9,4,6,6,42,10,4,101,154,1073,2041,98,44
7573627431,178324,为什么不把房子盖成实心的，这样不是...,房子,8,7,174,97,65,1,2,23,4,34,4,0,1,61,293,252,1255,7,27
3618828725,170606,其实我不是弱智是个诗人！,屎,93,0,22,178,84,29,4,4,2,1,4,0,0,646,150,1038,1959,94,36
7331624254,169445,请用一句话证明你没有看到这句话,证明,10,10,58,89,81,7,9,56,5,8,3,39,4,73,538,661,1978,129,161
7240354818,158301,人会创造一个完全没有意义的詞吗？,意义,37,10,13,52,46,10,1352,65,55,1,0,26,12,85,213,398,1579,68,333
6112626355,156777,诗词王子,诗,33,17,14,117,20,11,7,3,4,0,23,0,0,101,96,632,1165,23,7
1021064238,148856,本吧暂停任何水贴,影响,2,0,1,120,114,0,0,0,0,0,0,0,0,33,6,150,414,9,14
8397119218,143340,兄弟们，没球拍了，同学把他的拍锁 ...,大家,28,21,37,134,155,2,1,13,0,2,0,3,0,332,190,381,1869,52,14
8379439324,141172,问一道数学问题,颜良,13,22,48,36,34,0,2,50,3,0,0,0,0,53,185,1429,1970,239,9
7783611553,139801,清明节上课的话算不算为自己的青春上坟？,大家,1,28,6,151,144,0,1,0,0,0,0,0,6,168,36,205,577,8,4
5610575189,136294,弱匚智吧神回复第四期。,水吧,3,2,5,104,101,0,0,4,0,1,0,1,0,26,25,110,385,4,2
7749756710,133557,每个人工作都是为了赚钱，那么谁在亏钱,钱,6,18,30,53,44,1,6,51,18,43,30,2,4,158,127,449,1818,45,70
6575162666,123706,本人医生，现是本吧志愿者,医生,58,15,297,91,10,3,8,97,13,8,3,7,0,117,680,160,2097,8,10
8517289644,121448,既然生锈的刀砍人会让人得破伤风，古...,刀,21,22,61,44,11,5,5,39,10,2,0,3,0,42,142,517,1636,54,50
4807530428,118967,弱智吧神回复第三期。,弱智,90,15,33,187,195,3,0,7,2,0,0,0,0,221,219,342,1091,34,174
7438761806,116649,这条蛇属于什么品种？,蛇,5,4,5,91,65,2,3,2,1,0,0,0,0,93,110,156,869,6,7
8440024233,107167,去美国坐飞机只要五分钟？,飞机,48,134,45,11,34,2,0,28,8,117,20,7,0,148,238,213,1436,48,5
3459351638,107093,论神经病的天才性（不定时更新）,楼主,36,0,34,81,21,11,1,5,2,0,0,0,2,240,157,693,1991,104,61
8776520324,105526,用一句话证明你没看过这句话！,证明,60,25,51,40,45,4,1,43,4,3,1,10,0,159,654,364,1398,85,17
8731872117,102870,我家旁边总是有条狗汪汪汪的一直叫,狗,1,5,9,59,63,1,1,8,2,0,0,0,2,11,24,102,323,9,6
3590595697,102416,严正声明：弱智吧不是搞笑段子吧，请...,弱智,132,26,25,86,52,0,0,7,4,4,0,4,0,99,178,421,598,96,5
7905658816,101948,如果我吃自己的屎，我是生产者还是消...,屎,36,43,11,16,12,6,5,38,18,3,7,6,1,79,79,415,1237,45,37
7555947704,96447,地球上有70亿人，为什么只有86w...,弱智,667,38,26,40,28,2,0,20,10,46,2,3,2,45,128,197,853,9,8
8242240079,91614,这该怎么吃啊,意思,12,21,31,42,39,1,0,11,1,2,0,0,0,149,209,133,1136,17,8
8359043912,90048,马上要上游泳课了,泳裤,18,9,50,203,23,0,0,30,0,0,7,6,0,69,177,446,1113,100,17
7711507383,82470,我花了500块做了个智商测试怎么测...,智商,11,10,8,38,39,1,0,13,0,0,0,0,0,21,68,77,414,2,0
8888251427,82094,声速有多快？,弱智,102,16,11,53,54,20,0,2,1,2,0,0,24,65,104,121,449,24,2
8290577509,82007,既然高考是看排名的，那大家为什么不...,大家,23,31,55,52,5,7,22,27,7,0,0,1,1,54,91,370,1159,36,222
7719707927,81302,过年福字要倒着贴，为什么不生产倒过...,直接,8,15,80,27,25,2,2,18,1,41,0,1,0,37,253,113,738,2,3
8533078768,77592,天下没有不散的筵席，那么我们相聚的...,意义,41,25,24,5,23,1,220,22,1,3,0,12,71,52,141,232,838,21,48
8973696866,77036,【贴吧官方X弱智吧】AI大战弱智吧...,人类,129,5,15,13,11,2,2,40,194,0,3,1,3,101,197,407,1077,65,28
8335614780,76724,现在的学历歧视太严重了，我说我对象...,朋友,18,17,23,39,53,0,1,25,2,0,0,1,0,130,257,274,832,31,15
8118119277,75955,出生前爸爸没了叫遗腹子，那妈妈没了...,孩子,11,3,13,24,28,12,2,13,7,0,0,122,1,69,187,178,708,32,6
3386692526,74025,写完这篇文章我的精神分裂好了,楼主,22,3,14,62,11,10,0,9,2,1,1,0,1,265,75,455,992,86,24
8225302433,72610,都成流量密码了都,弱智,279,12,15,37,38,0,1,11,0,0,0,26,2,49,89,122,659,22,151
7815165215,72463,第一个喝牛奶的人，是如何区分牛尿和牛奶的,尿,3,5,36,18,16,1,2,25,21,1,0,2,1,33,164,208,824,16,24
8472193913,71138,为什么医院床位那么紧张，不弄成上下铺呢？,床位,17,29,100,22,18,0,1,70,0,0,0,1,0,67,129,323,835,86,90
7859765284,71083,蓝牙耳机坏了，去医院挂牙科还是耳科？,建议,9,6,36,15,22,35,0,24,0,1,0,0,0,42,100,95,575,1,4
8903910498,70699,我错哪儿了,答案,22,36,15,50,68,2,2,18,2,0,8,19,0,176,125,201,1085,31,19
7223204854,68551,如果医生一天吃一个苹果会发生什么,苹果,10,13,9,23,29,0,2,8,6,10,1,0,0,46,57,132,443,24,4
8201232893,67875,8u们帮我看看几度了,弱智,27,17,10,87,20,3,1,5,3,2,0,6,1,50,106,181,738,17,9
4361078342,66876,弱智吧神回复第一期（删掉重发，多图...,大家,15,5,5,87,78,0,0,5,1,3,1,0,0,53,52,141,359,13,1
8807455743,65137,弱智吧2023年度365佳贴,评分,46,10,32,55,57,4,0,7,5,3,4,1,1,111,128,1118,888,394,17
7957785906,60163,出生证丢了怎么证明自己出生了,证明,6,7,9,10,8,1,3,24,0,0,0,7,0,30,95,169,556,59,42
6509317083,58463,是 弱 智 吧 创造了 弱 智 ，...,弱智,820,21,12,18,10,86,8,75,33,4,2,1,32,78,111,187,768,14,6
8202002333,58135,弱智吧2022年度365佳贴,评分,48,4,23,35,17,1,0,7,4,0,1,1,2,130,135,1053,530,410,9
8037852712,57506,游泳比赛时把水喝光后跑步犯规吗,尿,19,19,47,394,5,0,2,14,5,0,2,4,1,26,90,198,811,9,3
7861344586,56877,我宣布地球是我的戒指,地球,28,19,15,16,12,2,1,3,4,291,7,0,5,80,117,145,538,7,29
6308809060,56488,【警情通报】第一届青龙山百人捉迷藏...,影响,0,0,0,46,48,0,0,0,0,0,0,0,0,24,7,50,153,2,0
8046342503,55106,人在岩浆里憋气最长时间是多少?,时间,16,14,23,158,4,2,0,5,7,5,1,0,0,35,74,183,835,3,4
8965916185,54879,既然台上一分钟，台下十年功,时间,6,51,32,14,11,2,1,13,0,2,0,18,0,39,84,271,734,55,37
6394421381,54692,年度总结：弱吧19年年度336佳贴。,大家,6,1,7,35,27,2,1,1,1,5,2,0,1,40,35,142,318,21,328
8849114769,54459,请用我，未来，活着为关键词写一段话...,活,4,0,13,3,1,1,203,3,0,0,0,1,0,46,123,291,881,48,13
4523438909,54024,弱智吧神回复第二期。,影响,9,0,4,52,39,1,0,1,0,0,0,0,0,15,21,86,243,8,0
8598035814,53824,关羽不斩老幼，为什么不派十万老幼去...,关羽,6,59,19,12,14,0,0,18,1,0,0,0,0,74,82,225,809,64,26
8459281082,49114,怀念过去是不是在时间的长河里刻舟求剑,哲学,70,64,10,28,7,0,16,14,3,0,0,2,104,58,127,204,596,7,16
8684363810,48465,黄牛为什么不炒人民币呢，需求量不是很大吗,钱,9,8,57,25,17,2,0,11,1,1,0,0,0,49,136,224,656,41,18
7494280671,47608,我故意在凶器上留下了指纹，警察绝对...,出院,12,31,20,28,16,0,1,1,0,0,0,3,0,114,65,76,377,11,0
2284223696,46946,严重的恐高症害得我终身无法低头捡到钱,尿,11,0,6,37,15,8,0,2,2,3,0,0,0,129,30,284,495,5,20
8407192920,46685,刑侦看多了，我得出了五个结论：,活,12,45,34,5,3,0,0,9,6,7,1,0,2,63,99,312,446,36,39
7339397421,45686,年度总结：弱吧2020年年度365佳贴,大家,8,1,18,25,11,2,1,3,6,6,7,0,0,73,74,582,430,48,2
7196785670,45176,赤道那么暖和，为什么不给我们北方修一条？,钱,0,5,35,19,16,1,0,5,2,18,27,0,0,37,54,110,385,8,7
6925742658,44207,一斤棉花和一斤铁，同时掉进水里你先救谁？,我会,2,2,31,358,15,1,1,16,1,0,0,2,0,66,61,137,714,8,2
8177933478,43630,神父去世是算升职还是降职,上帝,5,7,12,3,21,1,12,38,2,5,0,2,1,16,69,208,563,12,9
8236161398,43344,人眼像素最高可达五亿，可为什么还是...,眼睛,16,22,17,3,3,0,1,10,4,2,1,0,26,15,79,120,552,4,7
7734333558,41749,为什么我买了一本«新型诈骗手法»两...,影响,0,2,6,17,17,0,0,11,0,0,0,0,0,16,37,207,289,178,5
8573109911,41735,天上以前有九个太阳的时候，向日葵到...,太阳,1,7,11,5,5,1,0,7,1,4,289,0,0,24,59,123,497,15,2
8656968508,40657,为什么会自杀,活,19,5,10,25,1,3,5,19,4,0,1,0,17,18,48,167,643,14,18
8625256296,40591,为什么别人捐了一颗肾被当成英雄,医院,3,5,17,6,13,7,0,10,2,1,0,5,0,47,107,102,549,13,8
7336540684,39857,王医生走出抢救室宣布手术失败，病人...,病人,1,4,8,7,6,0,0,3,0,0,0,0,0,67,75,84,459,213,2
7708191512,39761,弱智吧今日热门,影响,3,3,3,101,65,1,1,0,0,4,0,0,0,141,30,89,272,16,1
8118873050,39114,抢劫的人为什么都抢手机电脑这些,房子,13,4,44,10,5,0,0,5,1,21,2,0,0,14,114,104,507,10,5
7340929932,38596,我躺在床上，被子躺在我身上原来我也...,哲学,5,14,11,17,12,0,0,1,0,5,0,0,26,34,81,77,412,6,3
4673440969,38532,弱智期末考试,答案,16,4,3,154,101,1,1,1,0,9,0,1,0,296,66,165,546,23,1
8973069765,37717,顾客就是上帝，那为什么上帝买东西还...,上帝,3,7,21,3,4,0,6,8,3,1,0,0,1,22,47,157,497,15,12
8653743414,37686,弱智吧19岁生日快乐！近年神回复鉴...,弱智,192,2,11,25,22,1,1,2,1,0,1,2,4,78,89,101,410,9,160
8871918397,37558,把自己的棵体印在衣服上穿出去，算穿...,身体,5,11,8,9,14,1,6,22,0,0,0,2,0,39,66,155,537,10,12
8942013196,37263,既然游戏容易上瘾，那为什么不让设计...,游戏,12,7,15,2,5,4,4,14,2,1,0,1,0,20,42,175,502,22,36
8092045602,36340,弱智吧18岁生日快乐,弱智,182,16,21,47,53,1,0,2,2,0,2,4,0,132,93,130,453,27,5
3804953434,36069,老夫自入院以来 作湿无数,屎,21,1,2,29,9,13,0,1,0,1,2,0,0,49,37,335,508,15,1
9011453472,36007,本吧持续禁水中，在本水楼以外水贴均...,帖子,5,0,5,78,75,1,2,0,0,0,0,0,0,13,29,213,410,4,5
5239344,35402,"哈哈哈哈哈哈,大家都来犯傻",帖子,32,6,5,16,12,0,0,1,0,0,0,0,0,40,59,45,187,2,0
8981259256,34641,监狱的防守这么严密，犯人都是怎么进去的？,法律,3,5,15,4,27,1,0,18,1,0,0,0,0,18,61,135,465,22,8
8973939602,34177,弱智吧大战人工智能，谁能在青龙山疗...,图片,46,9,4,4,5,0,0,6,7,0,0,0,1,43,60,31,742,12,4
8406771662,33716,耶稣为什么不伸出手掌为肯尼迪挡下子弹？,地狱,2,1,19,11,13,0,1,10,22,1,0,1,4,4,29,80,225,14,5
8536505870,32956,人的心脏都在左边，我们要如何拥抱才...,个人,8,7,5,1,2,1,1,10,3,0,0,0,9,22,68,90,341,12,12
8464275877,32935,今天吃刀削面,刀,33,84,37,37,9,3,1,2,0,0,0,0,0,96,114,80,350,5,3
6891507269,31497,因本吧水贴太多即日起更名为经验吧。,水吧,2,0,2,40,34,0,0,0,0,0,0,0,0,26,5,26,94,2,0
8818407151,31358,全家桶我一个人都吃不饱,个人,0,1,13,3,41,59,0,6,1,0,1,1,1,29,69,86,433,9,3
8284986175,31281,佛山祖庙发现的,弱智,62,59,21,33,43,1,0,1,1,0,0,0,0,136,86,52,342,5,2
